label,parameter_name,parameter_value,unit,global_peak_temperature_k,cell_tr_time_s,propagation_interval_s,max_propagation_interval_s,elapsed_s,segment_count
170°C,"TTR,ARC",170.0,°C,1485.0076931432045,0.0;8.298836003538906;22.024359850824666;35.750390362275574;49.47719899514329;63.20372954101269,8.298836003538906;13.72552384728576;13.726030511450908;13.726808632867716;13.726530545869402,13.726808632867716,2.505673791994923,22
260°C,"TTR,ARC",260.0,°C,1498.4205072808172,0.0;25.112932140269287;57.378633236259155;90.80985788154918;123.39500273485811;156.72856466896923,25.112932140269287;32.26570109598987;33.43122464529002;32.58514485330893;33.33356193411112,33.43122464529002,2.607746624998981,22
360°C,"TTR,ARC",360.0,°C,1566.679883853971,0.0;146.47390372274907;278.75398670138134;411.7618749323766;545.7590681464594;678.8973772909366,146.47390372274907;132.28008297863227;133.00788823099526;133.9971932140828;133.13830914447715,146.47390372274907,2.7980688749958063,22
470°C,"TTR,ARC",470.0,°C,1575.8460839801323,0.0;157.8542634816188;310.4316093416763;463.19825207037144;615.8462351308211;768.7983765689986,157.8542634816188;152.57734586005748;152.76664272869516;152.6479830604497;152.95214143817748,157.8542634816188,2.626323541000602,22
560°C,"TTR,ARC",560.0,°C,1575.6747820838218,0.0;158.4759068960741;312.3116943686664;466.7988753329297;620.2869727500924;774.73007731222,158.4759068960741;153.8357874725923;154.4871809642633;153.48809741716275;154.4431045621276,158.4759068960741,2.8954246249923017,22
770°C,"TTR,ARC",770.0,°C,1539.7811669372695,0.0;171.21351243461743;349.3349969152198;530.7420900151218;712.1218797609677;893.5665784231154,171.21351243461743;178.12148448060236;181.407093099902;181.37978974584587;181.44469866214774,181.44469866214774,3.3285047500103246,22
