label,parameter_name,parameter_value,unit,global_peak_temperature_k,cell_tr_time_s,propagation_interval_s,max_propagation_interval_s,elapsed_s,segment_count
120% ΔHe,ΔHe,120.0,%,1585.2641628527617,0.0;13.925267166929412;34.297090298429204;54.42806190686377;74.56421258487958;94.70008722669102,13.925267166929412;20.37182313149979;20.130971608434564;20.136150678015817;20.13587464181144,20.37182313149979,2.4548312080005417,22
110% ΔHe,ΔHe,110.00000000000001,%,1541.2303173070113,0.0;18.34847617212422;43.354168543511975;68.09550096188133;92.91058201074709;117.11112468484949,18.34847617212422;25.005692371387756;24.741332418369353;24.815081048865764;24.200542674102394,25.005692371387756,2.5871381659962935,22
100% ΔHe,ΔHe,100.0,%,1498.4205072808172,0.0;25.112932140269287;57.378633236259155;90.80985788154918;123.39500273485811;156.72856466896923,25.112932140269287;32.26570109598987;33.43122464529002;32.58514485330893;33.33356193411112,33.43122464529002,2.5372452919982607,22
90% ΔHe,ΔHe,90.0,%,1465.3337946993822,0.0;36.612092178799436;79.10468193389866;121.54213261922553;157.91766909607608;201.37282030774102,36.612092178799436;42.492589755099225;42.437450685326866;36.375536476850556;43.45515121166494,43.45515121166494,2.799888291003299,22
65% ΔHe,ΔHe,65.0,%,1356.248877372669,0.0;74.73533197824653;146.9528379935679;220.75128514852545;293.3447847091759;367.1823620286941,74.73533197824653;72.21750601532136;73.79844715495756;72.59349956065043;73.83757731951823,74.73533197824653,2.752599957995699,22
40% ΔHe,ΔHe,40.0,%,1247.9640295110237,0.0;156.93037401845405;272.0540999079779;392.044132802779;508.6338633470593;628.0662716386969,156.93037401845405;115.12372588952385;119.99003289480112;116.58973054428026;119.43240829163761,156.93037401845405,2.947669417000725,22
