label,parameter_name,parameter_value,unit,global_peak_temperature_k,cell_tr_time_s,propagation_interval_s,max_propagation_interval_s,elapsed_s,segment_count
no layer,kD,inf,W m-1 K-1,1498.3851631483838,0.0;25.1133070243797;58.24482595632614;91.62763300960215;125.00941107472104;158.43338185791245,25.1133070243797;33.13151893194644;33.38280705327601;33.381778065118894;33.42397078319141,33.42397078319141,2.630260249992716,22
kD=10,kD,10.0,W m-1 K-1,1499.7235015768606,0.0;26.025406053008698;59.35271271859114;93.70287987680402;127.20547238424949;161.38528687188034,26.025406053008698;33.32730666558244;34.35016715821288;33.50259250744547;34.17981448763085,34.35016715821288,2.637777541996911,22
kD=1,kD,1.0,W m-1 K-1,1506.5963647819933,0.0;34.62144473931508;75.32288891165474;116.10196514462835;156.96247163736504;197.80656960342225,34.62144473931508;40.70144417233966;40.77907623297361;40.86050649273669;40.844097966057205,40.86050649273669,2.6741164999984903,22
kD=0.6,kD,0.6,W m-1 K-1,1508.842593498068,0.0;41.28737223509246;88.67757207910554;137.5318753951761;186.18409060238824;234.88721242715047,41.28737223509246;47.39019984401308;48.85430331607054;48.65221520721215;48.703121824762235,48.85430331607054,2.7647260000085225,22
kD=0.3,kD,0.3,W m-1 K-1,1519.9443265377818,0.0;58.64598600977665;120.81323739289111;185.09718718626843;247.80658340378437;310.05759123599444,58.64598600977665;62.16725138311446;64.28394979337732;62.709396217515945;62.251007832210064,64.28394979337732,2.7679875000030734,22
kD=0.2,kD,0.2,W m-1 K-1,1527.122553545807,0.0;77.21762469058874;155.99940524093938;235.4884553649682;314.44967703800563;393.9370775466939,77.21762469058874;78.78178055035065;79.48905012402881;78.96122167303744;79.48740050868827,79.48905012402881,3.126608791993931,22
kD=0.08,kD,0.08,W m-1 K-1,1560.923567185773,0.0;189.7844844100779;339.2400027053852;494.4882520657296;649.2647925512753;804.1292707835474,189.7844844100779;149.45551829530731;155.2482493603444;154.77654048554564;154.86447823227218,189.7844844100779,2.979751374994521,22
kD=0.04,kD,0.04,W m-1 K-1,1599.3098515000922,0.0;516.4594012674036;815.469441558829;1139.2941739512762;1461.9527976446432;1787.5407501702177,516.4594012674036;299.0100402914254;323.82473239244723;322.65862369336696;325.58795252557456,516.4594012674036,2.806409958007862,22
