label,parameter_name,parameter_value,unit,global_peak_temperature_k,cell_tr_time_s,propagation_interval_s,max_propagation_interval_s,elapsed_s,segment_count
hdis=5,hdis,5.0,W m-2 K-1,1502.9938171566728,0.0;24.48476887532534;57.2919539145572;89.59739911593297;122.17159934128205;154.73444524417937,24.48476887532534;32.807185039231854;32.305445201375775;32.574200225349074;32.56284590289732,32.807185039231854,2.752957125005196,22
hdis=10,hdis,10.0,W m-2 K-1,1502.4986195536783,0.0;24.469833737309965;57.50376437283074;89.85888297730284;122.7477324818288;155.58018913393695,24.469833737309965;33.033930635520775;32.3551186044721;32.888849504525965;32.83245665210815,33.033930635520775,2.526217500009807,22
hdis=25,hdis,25.0,W m-2 K-1,1498.4205072808172,0.0;25.112932140269287;57.378633236259155;90.80985788154918;123.39500273485811;156.72856466896923,25.112932140269287;32.26570109598987;33.43122464529002;32.58514485330893;33.33356193411112,33.43122464529002,2.750811000005342,22
hdis=50,hdis,50.0,W m-2 K-1,1497.4920593313227,0.0;25.64243742728862;59.43509855555652;93.46175130958899;127.57744387081361;161.2867268285405,25.64243742728862;33.7926611282679;34.02665275403247;34.11569256122462;33.7092829577269,34.11569256122462,2.854379707991029,22
hdis=80,hdis,80.0,W m-2 K-1,1494.778800610127,0.0;26.247271137561732;60.70659666649478;94.12766566313778;127.56869831372494;161.122195251363,26.247271137561732;34.45932552893305;33.421068996642994;33.44103265058716;33.55349693763806,34.45932552893305,2.7714231249992736,22
hdis=100,hdis,100.0,W m-2 K-1,1493.3989088353683,0.0;26.396728492637088;60.39889164883147;94.91023670786582;128.67629330720894;162.57347256751038,26.396728492637088;34.002163156194385;34.51134505903435;33.766056599343116;33.89717926030144,34.51134505903435,2.708979041999555,22
hdis=200,hdis,200.0,W m-2 K-1,1492.3570413433586,0.0;27.432621727759514;62.542427623727974;97.26348593816682;132.1780318132686;167.00266038146285,27.432621727759514;35.109805895968464;34.72105831443885;34.91454587510178;34.82462856819424,35.109805895968464,2.606406374994549,22
